fecha,metrica,tipo_credito,valor
2015-10-31,deudores,pequenas_empresas,226058.000000
2015-10-31,morosidad_publicada,pequenas_empresas,9.431113
2015-10-31,deudores,total,4169002.000000
2015-10-31,mora_120d,total,1.848444
2015-10-31,mora_30d,total,3.161398
2015-10-31,mora_60d,total,2.542887
2015-10-31,mora_90d,total,2.151163
2015-10-31,morosidad_contable,total,2.650000
2015-10-31,morosidad_publicada,total,2.651608
2015-11-30,deudores,consumo,3383162.000000
2015-11-30,morosidad_publicada,consumo,3.304759
2015-11-30,deudores,corporativo,769.000000
2015-11-30,morosidad_publicada,corporativo,0.029226
2015-11-30,deudores,grandes_empresas,2671.000000
2015-11-30,morosidad_publicada,grandes_empresas,1.030949
2015-11-30,deudores,hipotecario,205850.000000
2015-11-30,morosidad_publicada,hipotecario,1.785904
2015-11-30,deudores,medianas_empresas,28001.000000
2015-11-30,morosidad_publicada,medianas_empresas,5.614140
2015-11-30,deudores,microempresas,588187.000000
2015-11-30,morosidad_publicada,microempresas,3.032918
2015-11-30,deudores,pequenas_empresas,225552.000000
2015-11-30,morosidad_publicada,pequenas_empresas,8.847792
2015-11-30,deudores,total,4169002.000000
2015-11-30,mora_120d,total,1.780737
2015-11-30,mora_30d,total,3.182691
2015-11-30,mora_60d,total,2.522781
2015-11-30,mora_90d,total,2.087842
2015-11-30,morosidad_contable,total,2.620000
2015-11-30,morosidad_publicada,total,2.617717
2015-12-31,deudores,consumo,3395115.000000
2015-12-31,morosidad_publicada,consumo,3.276281
2015-12-31,deudores,corporativo,675.000000
2015-12-31,morosidad_publicada,corporativo,0.019313
2015-12-31,deudores,grandes_empresas,2634.000000
2015-12-31,morosidad_publicada,grandes_empresas,0.982262
2015-12-31,deudores,hipotecario,206574.000000
2015-12-31,morosidad_publicada,hipotecario,1.842450
2015-12-31,deudores,medianas_empresas,28033.000000
2015-12-31,morosidad_publicada,medianas_empresas,5.208803
2015-12-31,deudores,microempresas,586509.000000
2015-12-31,morosidad_publicada,microempresas,2.935073
2015-12-31,deudores,pequenas_empresas,225871.000000
2015-12-31,morosidad_publicada,pequenas_empresas,8.581089
2015-12-31,deudores,total,4177965.000000
2015-12-31,mora_120d,total,1.770142
2015-12-31,mora_30d,total,3.090768
2015-12-31,mora_60d,total,2.474104
2015-12-31,mora_90d,total,2.088528
2015-12-31,morosidad_contable,total,2.540000
2015-12-31,morosidad_publicada,total,2.539117
2016-01-31,deudores,consumo,3371520.000000
2016-01-31,morosidad_publicada,consumo,3.442836
2016-01-31,deudores,corporativo,717.000000
2016-01-31,morosidad_publicada,corporativo,0.014892
2016-01-31,deudores,grandes_empresas,2655.000000
2016-01-31,morosidad_publicada,grandes_empresas,1.067677
2016-01-31,deudores,hipotecario,206831.000000
2016-01-31,morosidad_publicada,hipotecario,1.927008
2016-01-31,deudores,medianas_empresas,28094.000000
2016-01-31,morosidad_publicada,medianas_empresas,5.461527
2016-01-31,deudores,microempresas,585007.000000
2016-01-31,morosidad_publicada,microempresas,3.030370
2016-01-31,deudores,pequenas_empresas,226555.000000
2016-01-31,morosidad_publicada,pequenas_empresas,9.028891
2016-01-31,deudores,total,4156287.000000
2016-01-31,mora_120d,total,1.858596
2016-01-31,mora_30d,total,3.189747
2016-01-31,mora_60d,total,2.533423
2016-01-31,mora_90d,total,2.157974
2016-01-31,morosidad_contable,total,2.640000
2016-01-31,morosidad_publicada,total,2.642861
2016-02-29,deudores,consumo,3365747.000000
2016-02-29,morosidad_publicada,consumo,3.490596
2016-02-29,deudores,corporativo,727.000000
2016-02-29,morosidad_publicada,corporativo,0.014820
2016-02-29,deudores,grandes_empresas,2662.000000
2016-02-29,morosidad_publicada,grandes_empresas,1.232955
2016-02-29,deudores,hipotecario,207264.000000
2016-02-29,morosidad_publicada,hipotecario,2.032269
2016-02-29,deudores,medianas_empresas,28194.000000
2016-02-29,morosidad_publicada,medianas_empresas,5.566573
2016-02-29,deudores,microempresas,585991.000000
2016-02-29,morosidad_publicada,microempresas,3.159040
2016-02-29,deudores,pequenas_empresas,227894.000000
2016-02-29,morosidad_publicada,pequenas_empresas,8.944434
2016-02-29,deudores,total,4154324.000000
2016-02-29,mora_120d,total,1.891928
2016-02-29,mora_30d,total,3.263562
2016-02-29,mora_60d,total,2.631220
2016-02-29,mora_90d,total,2.203578
2016-02-29,morosidad_contable,total,2.710000
2016-02-29,morosidad_publicada,total,2.709918
2016-03-31,deudores,consumo,3364905.000000
2016-03-31,morosidad_publicada,consumo,3.542489
2016-03-31,deudores,corporativo,715.000000
2016-03-31,morosidad_publicada,corporativo,0.021626
2016-03-31,deudores,grandes_empresas,2645.000000
2016-03-31,morosidad_publicada,grandes_empresas,1.063681
2016-03-31,deudores,hipotecario,207622.000000
2016-03-31,morosidad_publicada,hipotecario,2.000704
2016-03-31,deudores,medianas_empresas,28374.000000
2016-03-31,morosidad_publicada,medianas_empresas,5.580460
2016-03-31,deudores,microempresas,588815.000000
2016-03-31,morosidad_publicada,microempresas,3.229151
2016-03-31,deudores,pequenas_empresas,228559.000000
2016-03-31,morosidad_publicada,pequenas_empresas,9.231545
2016-03-31,deudores,total,4158081.000000
2016-03-31,mora_120d,total,1.899066
2016-03-31,mora_30d,total,3.345250
2016-03-31,mora_60d,total,2.619378
2016-03-31,mora_90d,total,2.192547
2016-03-31,morosidad_contable,total,2.700000
2016-03-31,morosidad_publicada,total,2.701677
2016-04-30,deudores,consumo,3361856.000000
2016-04-30,morosidad_publicada,consumo,3.544377
2016-04-30,deudores,corporativo,726.000000
2016-04-30,morosidad_publicada,corporativo,0.140837
2016-04-30,deudores,grandes_empresas,2704.000000
2016-04-30,morosidad_publicada,grandes_empresas,1.122029
2016-04-30,deudores,hipotecario,207299.000000
2016-04-30,morosidad_publicada,hipotecario,2.011784
2016-04-30,deudores,medianas_empresas,28314.000000
2016-04-30,morosidad_publicada,medianas_empresas,5.683284
2016-04-30,deudores,microempresas,591469.000000
2016-04-30,morosidad_publicada,microempresas,3.306786
2016-04-30,deudores,pequenas_empresas,229813.000000
2016-04-30,morosidad_publicada,pequenas_empresas,9.311144
2016-04-30,deudores,total,4149169.000000
2016-04-30,mora_120d,total,1.902726
2016-04-30,mora_30d,total,3.320009
2016-04-30,mora_60d,total,2.640118
2016-04-30,mora_90d,total,2.224045
2016-04-30,morosidad_contable,total,2.770000
2016-04-30,morosidad_publicada,total,2.765550
2016-05-31,deudores,consumo,3385913.000000
2016-05-31,morosidad_publicada,consumo,3.752790
2016-05-31,deudores,corporativo,724.000000
2016-05-31,morosidad_publicada,corporativo,0.132418
2016-05-31,deudores,grandes_empresas,2752.000000
2016-05-31,morosidad_publicada,grandes_empresas,1.074026
2016-05-31,deudores,hipotecario,208733.000000
2016-05-31,morosidad_publicada,hipotecario,2.119040
2016-05-31,deudores,medianas_empresas,28579.000000
2016-05-31,morosidad_publicada,medianas_empresas,5.920729
2016-05-31,deudores,microempresas,592287.000000
2016-05-31,morosidad_publicada,microempresas,3.343389
2016-05-31,deudores,pequenas_empresas,230775.000000
2016-05-31,morosidad_publicada,pequenas_empresas,9.435761
2016-05-31,deudores,total,4183995.000000
