fecha,entidad_id,tipo_credito,deudores
2015-03-31,PICHINCHA,hipotecario,8036.000000
2015-03-31,PICHINCHA,medianas_empresas,2192.000000
2015-03-31,PICHINCHA,microempresas,19513.000000
2015-03-31,PICHINCHA,pequenas_empresas,17305.000000
2015-03-31,RIPLEY,consumo,491460.000000
2015-03-31,RIPLEY,microempresas,9.000000
2015-03-31,SANTANDER,consumo,11.000000
2015-03-31,SANTANDER,corporativo,61.000000
2015-03-31,SANTANDER,grandes_empresas,173.000000
2015-03-31,SANTANDER,medianas_empresas,154.000000
2015-03-31,SANTANDER,pequenas_empresas,4.000000
2015-03-31,SCOTIABANK,consumo,256857.000000
2015-03-31,SCOTIABANK,corporativo,162.000000
2015-03-31,SCOTIABANK,grandes_empresas,946.000000
2015-03-31,SCOTIABANK,hipotecario,28820.000000
2015-03-31,SCOTIABANK,medianas_empresas,11101.000000
2015-03-31,SCOTIABANK,microempresas,4594.000000
2015-03-31,SCOTIABANK,pequenas_empresas,50122.000000
2015-04-30,ALFIN,consumo,406761.000000
2015-04-30,BANCOM,consumo,63052.000000
2015-04-30,BANCOM,corporativo,3.000000
2015-04-30,BANCOM,grandes_empresas,40.000000
2015-04-30,BANCOM,hipotecario,314.000000
2015-04-30,BANCOM,medianas_empresas,202.000000
2015-04-30,BANCOM,microempresas,722.000000
2015-04-30,BANCOM,pequenas_empresas,859.000000
2015-04-30,BBVA,consumo,348083.000000
2015-04-30,BBVA,corporativo,226.000000
2015-04-30,BBVA,grandes_empresas,1509.000000
2015-04-30,BBVA,hipotecario,50501.000000
2015-04-30,BBVA,medianas_empresas,13957.000000
2015-04-30,BBVA,microempresas,2773.000000
2015-04-30,BBVA,pequenas_empresas,17261.000000
2015-04-30,BCP,consumo,861179.000000
2015-04-30,BCP,corporativo,411.000000
2015-04-30,BCP,grandes_empresas,1645.000000
2015-04-30,BCP,hipotecario,62618.000000
2015-04-30,BCP,medianas_empresas,16842.000000
2015-04-30,BCP,microempresas,26115.000000
2015-04-30,BCP,pequenas_empresas,63897.000000
2015-04-30,BIF,consumo,62446.000000
2015-04-30,BIF,corporativo,69.000000
2015-04-30,BIF,grandes_empresas,364.000000
2015-04-30,BIF,hipotecario,9377.000000
2015-04-30,BIF,medianas_empresas,3940.000000
2015-04-30,BIF,microempresas,3237.000000
2015-04-30,BIF,pequenas_empresas,3255.000000
2015-04-30,CENCOSUD,consumo,248100.000000
2015-04-30,CITIBANK,consumo,80220.000000
2015-04-30,CITIBANK,corporativo,47.000000
2015-04-30,CITIBANK,grandes_empresas,93.000000
2015-04-30,CITIBANK,hipotecario,28.000000
2015-04-30,CITIBANK,medianas_empresas,30.000000
2015-04-30,CITIBANK,microempresas,7.000000
2015-04-30,CITIBANK,pequenas_empresas,6.000000
2015-04-30,FALABELLA,consumo,1116533.000000
2015-04-30,FALABELLA,grandes_empresas,1.000000
2015-04-30,FALABELLA,hipotecario,215.000000
2015-04-30,FALABELLA,medianas_empresas,1.000000
2015-04-30,GNB,consumo,43172.000000
2015-04-30,GNB,corporativo,29.000000
2015-04-30,GNB,grandes_empresas,148.000000
2015-04-30,GNB,hipotecario,4498.000000
2015-04-30,GNB,medianas_empresas,436.000000
2015-04-30,GNB,microempresas,10.000000
2015-04-30,GNB,pequenas_empresas,82.000000
2015-04-30,ICBC,corporativo,7.000000
2015-04-30,ICBC,grandes_empresas,3.000000
2015-04-30,INTERBANK,consumo,831442.000000
2015-04-30,INTERBANK,corporativo,129.000000
2015-04-30,INTERBANK,grandes_empresas,550.000000
2015-04-30,INTERBANK,hipotecario,36199.000000
2015-04-30,INTERBANK,medianas_empresas,3839.000000
2015-04-30,INTERBANK,microempresas,1067.000000
2015-04-30,INTERBANK,pequenas_empresas,7995.000000
2015-04-30,MIBANCO,consumo,197086.000000
2015-04-30,MIBANCO,hipotecario,4626.000000
2015-04-30,MIBANCO,medianas_empresas,2672.000000
2015-04-30,MIBANCO,microempresas,561422.000000
2015-04-30,MIBANCO,pequenas_empresas,124862.000000
2015-04-30,PICHINCHA,consumo,248740.000000
2015-04-30,PICHINCHA,corporativo,115.000000
2015-04-30,PICHINCHA,grandes_empresas,314.000000
2015-04-30,PICHINCHA,hipotecario,8093.000000
2015-04-30,PICHINCHA,medianas_empresas,2194.000000
2015-04-30,PICHINCHA,microempresas,19092.000000
2015-04-30,PICHINCHA,pequenas_empresas,17115.000000
2015-04-30,RIPLEY,consumo,490554.000000
2015-04-30,RIPLEY,microempresas,9.000000
2015-04-30,SANTANDER,consumo,13.000000
2015-04-30,SANTANDER,corporativo,62.000000
2015-04-30,SANTANDER,grandes_empresas,177.000000
2015-04-30,SANTANDER,medianas_empresas,153.000000
2015-04-30,SANTANDER,pequenas_empresas,6.000000
2015-04-30,SCOTIABANK,consumo,259387.000000
2015-04-30,SCOTIABANK,corporativo,179.000000
2015-04-30,SCOTIABANK,grandes_empresas,933.000000
2015-04-30,SCOTIABANK,hipotecario,28915.000000
2015-04-30,SCOTIABANK,medianas_empresas,11118.000000
2015-04-30,SCOTIABANK,microempresas,4509.000000
2015-04-30,SCOTIABANK,pequenas_empresas,49486.000000
2015-05-31,ALFIN,consumo,401240.000000
2015-05-31,BANCOM,consumo,62604.000000
2015-05-31,BANCOM,corporativo,4.000000
2015-05-31,BANCOM,grandes_empresas,46.000000
2015-05-31,BANCOM,hipotecario,318.000000
2015-05-31,BANCOM,medianas_empresas,192.000000
2015-05-31,BANCOM,microempresas,670.000000
2015-05-31,BANCOM,pequenas_empresas,839.000000
2015-05-31,BBVA,consumo,352184.000000
2015-05-31,BBVA,corporativo,225.000000
2015-05-31,BBVA,grandes_empresas,1544.000000
2015-05-31,BBVA,hipotecario,50644.000000
2015-05-31,BBVA,medianas_empresas,13879.000000
2015-05-31,BBVA,microempresas,2800.000000
2015-05-31,BBVA,pequenas_empresas,17391.000000
2015-05-31,BCP,consumo,866357.000000
2015-05-31,BCP,corporativo,416.000000
2015-05-31,BCP,grandes_empresas,1651.000000
2015-05-31,BCP,hipotecario,62674.000000
2015-05-31,BCP,medianas_empresas,16726.000000
2015-05-31,BCP,microempresas,27147.000000
2015-05-31,BCP,pequenas_empresas,63903.000000
2015-05-31,BIF,consumo,62131.000000
2015-05-31,BIF,corporativo,69.000000
2015-05-31,BIF,grandes_empresas,368.000000
2015-05-31,BIF,hipotecario,9455.000000
