fecha,entidad_id,tipo_credito,atrasados,refinanciados_reestructurados,vigentes,directos
2015-04-30,BCP,corporativo,7277.422000,0.000000,20711939.364000,20719216.786000
2015-04-30,BCP,grandes_empresas,44587.002000,20388.877000,12706470.068000,12771445.947000
2015-04-30,BCP,hipotecario,205002.894000,28411.460000,11003039.033000,11236453.387000
2015-04-30,BCP,medianas_empresas,606690.215000,144145.601000,10669326.663000,11420162.479000
2015-04-30,BCP,microempresas,8245.633000,3987.988000,314391.392000,326625.013000
2015-04-30,BCP,pequenas_empresas,480299.411000,177311.067000,3620030.247000,4277640.725000
2015-04-30,BIF,consumo,17800.077420,5097.725600,640229.275680,663127.078700
2015-04-30,BIF,corporativo,1.519000,0.000000,1079400.278000,1079401.797000
2015-04-30,BIF,grandes_empresas,6161.900000,37182.598000,1354396.900000,1397741.398000
2015-04-30,BIF,hipotecario,4808.442000,3385.354000,1389681.561000,1397875.357000
2015-04-30,BIF,medianas_empresas,79860.805000,76948.335000,2413392.265000,2570201.405000
2015-04-30,BIF,microempresas,906.057000,33.137000,7129.573000,8068.767000
2015-04-30,BIF,pequenas_empresas,14066.059000,3593.259000,144402.923000,162062.241000
2015-04-30,CENCOSUD,consumo,18259.639530,5490.892220,311298.773860,335049.305610
2015-04-30,CITIBANK,consumo,63744.887460,7434.522940,913326.520710,984505.931110
2015-04-30,CITIBANK,corporativo,0.000000,10396.263000,1141980.373000,1152376.636000
2015-04-30,CITIBANK,grandes_empresas,0.000000,0.000000,1012917.733000,1012917.733000
2015-04-30,CITIBANK,hipotecario,0.000000,0.000000,3973.160000,3973.160000
2015-04-30,CITIBANK,medianas_empresas,2829.912000,0.000000,175609.235000,178439.147000
2015-04-30,CITIBANK,microempresas,0.000000,0.000000,1164.362000,1164.362000
2015-04-30,CITIBANK,pequenas_empresas,0.000000,0.000000,623.353000,623.353000
2015-04-30,FALABELLA,consumo,118646.972860,47421.814890,3050083.864400,3216152.652150
